element;xmin;ymin;xmax;ymax;ausrichtung;point_xmi_ymi;point_xma_ymi;point_xmi_yma;point_xma_yma
[['58.373900', '729.416500', '97.870106', '740.352500', 'Concepts,'], ['100.031823', '729.416500', '140.948363', '740.352500', 'principales'], ['143.110079', '729.416500', '158.546455', '740.352500', 'and'], ['160.708172', '729.416500', '177.463428', '740.352500', 'rules'], ['179.625145', '729.416500', '219.433512', '740.352500', 'according'], ['221.595229', '729.416500', '231.514154', '740.352500', 'to:'], ['58.373900', '737.416500', '100.375683', '748.352500', 'Dimensions'], ['102.537024', '737.416500', '142.338453', '748.352500', 'according'], ['144.499794', '737.416500', '154.416990', '748.352500', 'to:'], ['58.373900', '745.416500', '99.034574', '756.352500', 'Tolerances'], ['101.196379', '745.416500', '108.758797', '756.352500', 'of'], ['110.920602', '745.416500', '130.314417', '756.352500', 'form,'], ['132.476222', '745.416500', '175.548441', '756.352500', 'orientation,'], ['177.710246', '745.416500', '208.841807', '756.352500', 'location'], ['211.003612', '745.416500', '226.440620', '756.352500', 'and'], ['228.602426', '745.416500', '257.712659', '756.352500', 'run-out:'], ['58.373900', '753.416500', '78.217548', '764.352500', 'Edge'], ['80.378196', '753.416500', '98.490205', '764.352500', 'finish'], ['100.650854', '753.416500', '140.439552', '764.352500', 'according'], ['142.600200', '753.416500', '152.514224', '764.352500', 'to:'], ['58.373900', '761.416500', '87.346542', '772.352500', 'Surface'], ['89.514989', '761.416500', '115.872969', '772.352500', 'texture'], ['118.041416', '761.416500', '157.973717', '772.352500', 'according'], ['160.142164', '761.416500', '170.091969', '772.352500', 'to:'], ['58.373900', '769.416500', '78.083368', '780.352500', 'Limits'], ['80.243844', '769.416500', '120.029359', '780.352500', 'according'], ['122.189834', '769.416500', '132.103065', '780.352500', 'to:'], ['58.373900', '777.416500', '72.949269', '788.352500', '16%'], ['75.093389', '777.416500', '90.853055', '788.352500', 'rule:'], ['58.133900', '788.640500', '84.919046', '799.576500', 'Quality'], ['87.077756', '788.640500', '124.181067', '799.576500', 'Standard:'], ['126.339776', '788.640500', '136.283869', '799.576500', 'EN'], ['138.442579', '788.640500', '160.029676', '799.576500', '10095']];58.1339;729.4165;257.712659;799.5765;3;[58.1339, 729.4165];[257.712659, 729.4165];[58.1339, 799.5765];[257.712659, 799.5765]
[['109.274200', '810.370600', '117.586701', '830.875600', '4']];109.2742;810.3706;117.586701;830.8756;1;[109.2742, 810.3706];[117.586701, 810.3706];[109.2742, 830.8756];[117.586701, 830.8756]
[['236.834200', '810.370600', '245.146701', '830.875600', '3']];236.8342;810.3706;245.146701;830.8756;1;[236.8342, 810.3706];[245.146701, 810.3706];[236.8342, 830.8756];[245.146701, 830.8756]
[['340.730737', '708.103869', '373.945560', '715.853802', 'Designation:']];340.730737;708.103869;373.94556;715.853802;3;[340.730737, 708.103869];[373.94556, 708.103869];[340.730737, 715.853802];[373.94556, 715.853802]
[['277.077900', '729.416500', '289.463781', '740.352500', 'ISO'], ['291.617509', '729.416500', '308.847335', '740.352500', '8015'], ['277.077900', '737.416500', '289.455650', '748.352500', 'ISO'], ['291.607965', '737.416500', '313.131108', '748.352500', '14405'], ['315.283423', '737.416500', '326.472349', '748.352500', '1-3'], ['277.077900', '745.416500', '289.235281', '756.352500', 'ISO'], ['291.349276', '745.416500', '308.261239', '756.352500', '1101'], ['277.077900', '753.416500', '289.366340', '764.352500', 'ISO'], ['291.503125', '753.416500', '312.870971', '764.352500', '13715'], ['277.077900', '761.416500', '289.468649', '772.352500', 'ISO'], ['291.623224', '761.416500', '308.859821', '772.352500', '1302'], ['277.077900', '769.416500', '289.565656', '780.352500', 'ISO'], ['291.737099', '769.416500', '311.711238', '780.352500', '286-2'], ['277.077900', '777.416500', '289.568633', '788.352500', 'not'], ['291.725698', '777.416500', '333.068156', '788.352500', 'applicable']];277.0779;729.4165;333.068156;788.3525;3;[277.0779, 729.4165];[333.068156, 729.4165];[277.0779, 788.3525];[333.068156, 788.3525]
[['374.179300', '715.331300', '440.235745', '748.139300', 'BEATE'], ['446.742727', '715.331300', '532.907392', '748.139300', 'Laeufer']];374.1793;715.3313;532.907392;748.1393;3;[374.1793, 715.3313];[532.907392, 715.3313];[374.1793, 748.1393];[532.907392, 748.1393]
[['340.367901', '803.563542', '356.398018', '811.313475', 'Scale:'], ['357.900672', '803.563542', '365.413942', '811.313475', '1:1']];340.367901;803.563542;365.413942;811.313475;3;[340.367901, 803.563542];[365.413942, 803.563542];[340.367901, 811.313475];[365.413942, 811.313475]
[['568.469200', '748.825600', '579.573363', '769.330600', 'A']];568.4692;748.8256;579.573363;769.3306;1;[568.4692, 748.8256];[579.573363, 748.8256];[568.4692, 769.3306];[579.573363, 769.3306]
[['397.987300', '760.115300', '483.981095', '792.923300', 'Laeufer']];397.9873;760.1153;483.981095;792.9233;3;[397.9873, 760.1153];[483.981095, 760.1153];[397.9873, 792.9233];[483.981095, 792.9233]
[['340.367901', '766.469312', '362.705884', '774.219245', 'Drawing'], ['364.236715', '766.469312', '372.332990', '774.219245', 'nr.:']];340.367901;766.469312;372.33299;774.219245;3;[340.367901, 766.469312];[372.33299, 766.469312];[340.367901, 774.219245];[372.33299, 774.219245]
[['378.569200', '810.370600', '386.881701', '830.875600', '2']];378.5692;810.3706;386.881701;830.8756;1;[378.5692, 810.3706];[386.881701, 810.3706];[378.5692, 830.8756];[386.881701, 830.8756]
[['466.237700', '803.563542', '480.428674', '811.313475', 'Page'], ['481.941722', '803.563542', '490.380927', '811.313475', '1/1']];466.2377;803.563542;490.380927;811.313475;3;[466.2377, 803.563542];[490.380927, 803.563542];[466.2377, 811.313475];[490.380927, 811.313475]
[['542.519200', '769.593300', '556.620596', '784.630300', 'A4']];542.5192;769.5933;556.620596;784.6303;3;[542.5192, 769.5933];[556.620596, 769.5933];[542.5192, 784.6303];[556.620596, 784.6303]
[['506.129200', '810.370600', '514.441701', '830.875600', '1']];506.1292;810.3706;514.441701;830.8756;1;[506.1292, 810.3706];[514.441701, 810.3706];[506.1292, 830.8756];[514.441701, 830.8756]
