67.790402,11.570546,73.239534,20.626588,1 1,70.51496800000001,16.098567000000003
67.790402,11.570546,73.239534,20.626588,1 1 1 1,70.51496800000001,16.098567000000003
67.790402,11.570546,73.239534,20.626588,1 1 1 1 1 1 1 1,70.51496800000001,16.098567000000003
268.068994,11.450546,273.518126,20.506588,3 3,270.79355999999996,15.978567
167.989461,11.570546,173.438592,20.626588,2 2,170.7140265,16.098567000000003
368.268523,11.450546,373.717654,20.506588,4 4,370.9930885,15.978567
468.348387,11.450546,473.797518,20.506588,5 5,471.07295250000004,15.978567
568.547916,11.450546,573.997047,20.506588,6 6,571.2724814999999,15.978567
122.630951,46.695792,131.613209,60.279874,Z Z,127.12208000000001,53.487832999999995
122.630951,46.695792,131.613209,60.279874,Z Z (,127.12208000000001,53.487832999999995
122.630951,46.695792,131.613209,60.279874,Z Z ( 20,127.12208000000001,53.487832999999995
135.590904,46.695792,140.486308,60.279874,( Z,138.03860600000002,53.487832999999995
135.590904,46.695792,140.486308,60.279874,( Z (,138.03860600000002,53.487832999999995
135.590904,46.695792,140.486308,60.279874,( Z ( 20,138.03860600000002,53.487832999999995
135.590904,46.695792,140.486308,60.279874,( Z ( 20 :,138.03860600000002,53.487832999999995
144.590872,46.695792,160.924548,60.279874,20 Z,152.75770999999997,53.487832999999995
144.590872,46.695792,160.924548,60.279874,20 Z (,152.75770999999997,53.487832999999995
144.590872,46.695792,160.924548,60.279874,20 Z ( 20,152.75770999999997,53.487832999999995
144.590872,46.695792,160.924548,60.279874,20 Z ( 20 :,152.75770999999997,53.487832999999995
144.590872,46.695792,160.924548,60.279874,20 Z ( 20 : 1,152.75770999999997,53.487832999999995
164.990792,46.695792,169.077646,60.279874,: (,167.034219,53.487832999999995
164.990792,46.695792,169.077646,60.279874,: ( 20,167.034219,53.487832999999995
164.990792,46.695792,169.077646,60.279874,: ( 20 :,167.034219,53.487832999999995
164.990792,46.695792,169.077646,60.279874,: ( 20 : 1,167.034219,53.487832999999995
164.990792,46.695792,169.077646,60.279874,: ( 20 : 1 ),167.034219,53.487832999999995
173.150760,46.695792,181.324468,60.279874,1 20,177.237614,53.487832999999995
173.150760,46.695792,181.324468,60.279874,1 20 :,177.237614,53.487832999999995
173.150760,46.695792,181.324468,60.279874,1 20 : 1,177.237614,53.487832999999995
173.150760,46.695792,181.324468,60.279874,1 20 : 1 ),177.237614,53.487832999999995
185.390712,46.695792,190.286116,60.279874,) :,187.838414,53.487832999999995
185.390712,46.695792,190.286116,60.279874,) : 1,187.838414,53.487832999999995
185.390712,46.695792,190.286116,60.279874,) : 1 ),187.838414,53.487832999999995
120.761894,84.160811,129.817431,91.199965,R R,125.28966249999999,87.680388
121.481894,78.819233,130.537431,84.239966,2 2,126.00966249999999,81.52959949999999
646.430741,113.055766,656.236251,126.639848,X X,651.333496,119.847807
646.430741,113.055766,656.236251,126.639848,X X (,651.333496,119.847807
646.430741,113.055766,656.236251,126.639848,X X ( 10,651.333496,119.847807
660.350702,113.055766,665.246107,126.639848,( X,662.7984045000001,119.847807
660.350702,113.055766,665.246107,126.639848,( X (,662.7984045000001,119.847807
660.350702,113.055766,665.246107,126.639848,( X ( 10,662.7984045000001,119.847807
660.350702,113.055766,665.246107,126.639848,( X ( 10 :,662.7984045000001,119.847807
669.350715,113.055766,685.564420,126.639848,10 X,677.4575675000001,119.847807
669.350715,113.055766,685.564420,126.639848,10 X (,677.4575675000001,119.847807
669.350715,113.055766,685.564420,126.639848,10 X ( 10,677.4575675000001,119.847807
669.350715,113.055766,685.564420,126.639848,10 X ( 10 :,677.4575675000001,119.847807
669.350715,113.055766,685.564420,126.639848,10 X ( 10 : 1,677.4575675000001,119.847807
689.630708,113.055766,693.717562,126.639848,: (,691.674135,119.847807
689.630708,113.055766,693.717562,126.639848,: ( 10,691.674135,119.847807
689.630708,113.055766,693.717562,126.639848,: ( 10 :,691.674135,119.847807
689.630708,113.055766,693.717562,126.639848,: ( 10 : 1,691.674135,119.847807
689.630708,113.055766,693.717562,126.639848,: ( 10 : 1 ),691.674135,119.847807
697.910705,113.055766,706.084413,126.639848,1 10,701.997559,119.847807
697.910705,113.055766,706.084413,126.639848,1 10 :,701.997559,119.847807
697.910705,113.055766,706.084413,126.639848,1 10 : 1,701.997559,119.847807
697.910705,113.055766,706.084413,126.639848,1 10 : 1 ),701.997559,119.847807
710.150701,113.055766,715.046105,126.639848,) :,712.598403,119.847807
710.150701,113.055766,715.046105,126.639848,) : 1,712.598403,119.847807
710.150701,113.055766,715.046105,126.639848,) : 1 ),712.598403,119.847807
475.533479,190.281023,487.801050,198.119921,n n,481.6672645,194.200472
475.533479,190.281023,487.801050,198.119921,n n 15.15,481.6672645,194.200472
478.841359,179.470821,487.897401,190.319924,11 11,483.36938,184.8953725
150.110940,166.850483,169.239999,175.906526,1.65 1.65,159.67546950000002,171.37850450000002
108.590957,216.735724,118.396466,230.319806,Y Y,113.4937115,223.527765
108.590957,216.735724,118.396466,230.319806,Y Y (,113.4937115,223.527765
108.590957,216.735724,118.396466,230.319806,Y Y ( 10,113.4937115,223.527765
122.390911,216.735724,127.286315,230.319806,( Y,124.83861300000001,223.527765
122.390911,216.735724,127.286315,230.319806,( Y (,124.83861300000001,223.527765
122.390911,216.735724,127.286315,230.319806,( Y ( 10,124.83861300000001,223.527765
122.390911,216.735724,127.286315,230.319806,( Y ( 10 :,124.83861300000001,223.527765
131.390879,216.735724,147.724555,230.319806,10 Y,139.55771700000003,223.527765
