,X1,Y1,X2,Y2,Text,X,Y,d,cluster
0,187.180925,815.746851,198.28075800000002,833.135725,n,192.7308415,824.441288,False,0
1,198.340921,820.4512070000001,213.724746,833.267817,35,206.0328335,826.859512,False,0
2,217.30091299999998,816.8400780000001,223.059244,825.960723,+,220.1800785,821.4004004999998,False,0
3,224.86091000000002,816.360079,238.503158,825.480723,0.2,231.682034,820.9204010000002,False,0
4,217.30091299999998,826.320075,223.059244,835.4407190000001,+,220.1800785,830.8803969999999,False,0
5,224.86091000000002,826.080075,244.143154,835.200719,0.01,234.502032,830.640397,False,0
6,248.02090099999998,815.746851,274.240367,833.135725,É,261.130634,824.441288,False,0
7,278.020877,820.4512070000001,287.262692,833.267817,K,282.6417845,826.859512,False,0
8,287.26088500000003,815.746851,318.47268199999996,833.135725,#,302.8667835,824.441288,False,0
9,318.580873,820.4512070000001,326.284694,833.267817,L,322.43278349999997,826.859512,False,0
10,1111.191445,494.016255,1124.007599,521.039792,86.3,1117.599522,507.5280235,False,1
11,857.632547,546.096232,870.4487,569.279772,110,864.0406234999999,557.688002,False,2
12,832.0725570000001,519.3059599999999,844.888711,570.8397719999999,(209.74),838.480634,545.072866,False,3
13,977.620609,769.211228,1000.8040269999999,782.027838,110,989.212318,775.619533,False,4
14,591.940763,812.6196669999999,605.78209,831.815352,S,598.8614265,822.2175095,False,5
15,611.500765,812.6196669999999,618.411053,831.815352,(,614.955909,822.2175095,False,5
16,624.220783,812.6196669999999,635.7586809999999,831.815352,2,629.989732,822.2175095,False,5
17,641.620794,812.6196669999999,647.389743,831.815352,:,644.5052684999999,822.2175095,False,5
18,653.140762,812.6196669999999,664.678659,831.815352,1,658.9097105000002,822.2175095,False,5
19,670.4207719999999,812.6196669999999,677.33106,831.815352,),673.875916,822.2175095,False,5
20,967.3001130000001,799.331216,981.9079839999999,812.147826,2x,974.6040485,805.739521,False,6
21,985.780606,799.331216,1008.8444929999999,812.147826,140,997.3125494999999,805.739521,False,6
22,1010.6195960000001,797.5089889999999,1019.1836109999999,809.911088,`,1014.9016035,803.7100385,False,6
23,1019.259592,800.880085,1032.901811,810.000729,0.5,1026.0807015,805.440407,False,6
24,769.540692,816.46685,785.6328570000001,833.855725,j,777.5867745,825.1612875000002,False,7
25,791.260683,819.251208,821.4045179999999,832.067818,Ø0.2,806.3326005,825.6595130000002,False,7
26,827.020669,819.251208,836.262484,832.067818,A,831.6415764999998,825.6595130000002,False,7
27,841.9006630000001,819.251208,851.142478,832.067818,B,846.5215705,825.6595130000002,False,7
28,655.420738,835.066843,666.520571,852.4557169999999,n,660.9706545,843.7612799999998,False,5
29,666.460733,839.7712,681.844529,852.58781,37,674.1526309999998,846.1795050000002,False,5
30,685.540726,839.7712,710.884518,852.58781,H12,698.212622,846.1795050000002,False,5
31,714.4607139999999,835.634036,721.049117,853.9351529999999,(,717.7549155,844.7845945,False,5
32,745.300702,835.634036,751.889104,853.9351529999999,),748.5949029999998,844.7845945,False,5
33,719.740712,836.88007,725.4990429999999,846.000715,+,722.6198775,841.4403925,False,5
34,726.1007099999999,836.280071,745.382909,845.400715,0.25,735.7418094999999,840.840393,False,5
35,720.940712,845.160067,731.582956,855.1207109999999,-0,726.2618339999998,850.140389,False,5
36,1563.832702,193.366806,1581.806998,213.119915,50°,1572.81985,203.2433605,False,8
37,1418.610908,301.041533,1435.9946810000001,310.919876,n,1427.3027945000001,305.9807045,False,9
38,1428.3535470000002,294.223619,1441.1668300000001,301.07988,4,1434.7601885,297.6517495,False,9
39,1451.610894,299.616547,1468.994668,310.31987599999997,n,1460.302781,304.96821150000005,False,9
40,1459.313896,284.771268,1474.166716,299.63988,60,1466.740306,292.205574,False,9
41,1532.270923,381.936016,1545.087533,397.319841,13,1538.679228,389.6279285,False,10
42,1532.270923,352.755985,1545.087533,378.119847,MIN,1538.679228,365.43791600000003,False,10
43,1657.5406369999998,377.651385,1667.544521,390.467994,C,1662.542579,384.0596895,False,11
44,1513.659395,496.451337,1528.267324,509.267947,4x,1520.9633595,502.859642,False,12
45,1532.139392,496.451337,1577.643206,509.267947,M5x0.8,1554.8912990000001,502.859642,False,13
46,1295.6204619999999,614.979746,1310.6031269999999,634.175431,U,1303.1117945,624.5775884999999,False,14
47,1315.059474,613.7797469999999,1328.900801,632.9754320000001,Y,1321.9801375,623.3775895,False,14
48,1324.05947,639.939736,1336.738707,659.135421,T,1330.3990884999996,649.5375785,False,15
49,1260.580303,614.619746,1273.2595390000001,633.815431,Z,1266.9199210000002,624.2175884999998,False,14
50,1275.09949,763.93123,1290.6033439999999,776.74784,80,1282.851417,770.3395350000002,False,16
51,1292.379483,761.989003,1300.943498,774.391103,`,1296.6614905,768.190053,False,16
52,1300.89948,765.360099,1314.6616980000001,774.480743,0.3,1307.780589,769.920421,False,16
53,1409.379436,651.586916,1430.463932,668.975791,b,1419.921684,660.2813535,False,17
54,1436.139426,653.8912740000001,1455.483238,666.707884,0.1,1445.811332,660.299579,False,17
55,1461.219416,653.8912740000001,1485.023195,666.707884,B-C,1473.1213054999996,660.299579,False,17
56,1411.899435,668.866909,1427.9916,686.255784,i,1419.9455175,677.5613464999999,False,17
57,1436.139426,673.811266,1455.483238,686.627876,0.1,1445.811332,680.2195710000002,False,17
58,1461.219416,673.811266,1485.023195,686.627876,B-C,1473.1213054999996,680.2195710000002,False,17
59,1657.900637,661.091271,1667.142452,673.907881,E,1662.5215445000001,667.4995759999998,False,18
60,1380.099448,768.70687,1396.1916130000002,786.0957440000001,i,1388.1455305,777.401307,False,19
61,1401.939439,773.531226,1421.163251,786.347836,0.2,1411.551345,779.939531,False,19
62,1426.779429,773.531226,1450.703209,786.347836,B-C,1438.741319,779.939531,False,19
63,1658.2606369999999,802.811214,1666.726527,815.627824,F,1662.493582,809.219519,False,20
64,978.460609,826.811205,993.1880699999999,839.627815,4x,985.8243395,833.21951,False,21
65,998.8606,826.811205,1019.882984,839.627815,90°,1009.371792,833.21951,False,21
66,769.540692,839.0512,814.924506,851.86781,M5x0.8,792.2325989999998,845.459505,False,7
67,818.740675,839.0512,823.354655,851.86781,-,821.047665,845.459505,False,7
68,827.2607059999999,839.0512,855.7244890000001,851.86781,Thru,841.4925975,845.459505,False,7
69,1657.5406369999998,519.3713280000001,1667.544521,532.187938,D,1662.542579,525.779633,False,22
70,1383.099447,729.1068849999999,1398.737763,746.49576,f,1390.918605,737.8013225,False,19
71,1407.3394369999999,731.411243,1426.563249,744.227853,0.1,1416.9513430000004,737.8195479999998,False,19
72,1432.179427,731.411243,1441.421242,744.227853,E,1436.8003345,737.8195479999998,False,19
73,1380.099448,746.386878,1401.637792,763.775753,c,1390.86862,755.0813155000002,False,19
74,1407.3394369999999,751.211235,1426.563249,764.0278450000001,0.1,1416.9513430000004,757.6195399999998,False,19
75,1185.099526,733.451242,1212.1233710000001,746.267852,12.5,1198.6114484999996,739.859547,False,23
