"Toleran
zklasse
Benennung
Kurzzeichen","","iche
Grei
izabmaße für Nennmaßbere
über 6
von 0,5^) bis 3
über 3 bis 6","",""
"f
fein","","±0,2","±0,5","± 1"
"m
mittel","","","",""
"c
grob","","±0,4","± 1","±2"
"V
sehr grob","","","",""
"^) Für Nennmaße unter 0,5 mm sind die Grenzabmaße direkt an dem (den) entsprechenden Nennmaß(en) anzugeben.","","","",""
