"Toleran
Kurzzeichen","zklasse
Benennung","Grei
von 0,5^) bis 3
±0,2","izabmaße für Nennmaßbere
über 3 bis 6
±0,5","iche
über 6
± 1"
"f","fein","","",""
"m","mittel","±0,4","± 1","±2"
"c","grob","","",""
"V
sehr grob","","","",""
"^) Für Nennmaße unter 0,5 mm sind die Grenzabmaße direkt an dem (den) entsprechenden Nennmaß(en) anzugeben.","","","",""
